"Item Code","Item Group","Default Unit of Measure","Series","Item Name","HSN/SAC","Disabled","Allow Alternative Item","Maintain Stock","Has Variants","Opening Stock","Default Purchase Unit of Measure","MRP per purchase UOM","MRP","Valuation Rate","Standard Selling Rate","Is Fixed Asset","Rate for Native","Rate for Foreign","Auto Create Assets on Purchase","Create Grouped Asset","Over Delivery/Receipt Allowance (%)","Over Billing Allowance (%)","Description","Shelf Life In Days","End of Life","Default Material Request Type","Weight Per Unit","Allow Negative Stock","Has Batch No","Automatically Create New Batch","Has Expiry Date","Retain Sample","Max Sample Quantity","Has Serial No","Variant Based On","Enable Deferred Expense","No of Months (Expense)","Enable Deferred Revenue","No of Months (Revenue)","Minimum Order Qty","Safety Stock","Allow Purchase","Lead Time in days","Last Purchase Rate","Is Customer Provided Item","Delivered by Supplier (Drop Ship)","Country of Origin","Grant Commission","Allow Sales","Max Discount (%)","Is Ineligible for Input Tax Credit","Inspection Required before Purchase","Inspection Required before Delivery","Include Item In Manufacturing","Supply Raw Materials for Purchase","ID (Taxes)","Item Tax Template (Taxes)","Maximum Net Rate (Taxes)","Minimum Net Rate (Taxes)","ID (UOMs)","Conversion Factor (UOMs)","UOM (UOMs)","ID (Item Defaults)","Company (Item Defaults)","Default Warehouse (Item Defaults)"
"CALNI D3","Medications","Nos","STO-ITEM-.YYYY.-","CALNI D3","30049099","0","0","1","0","0","Nos","398.0","398.0","379.0476","0","0","0","0","0","0","0","0","CALNI D3","0","2027-06-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","3vtya5kos6","GST 5% - DRDSC","0","0","is9hxfupub","1","Nos","h6gk9jupax","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"CANDID V6","Medications","Nos","STO-ITEM-.YYYY.-","CANDID V6","30049099","0","0","1","0","0","Nos","93.0","93.0","88.5714","0","0","0","0","0","0","0","0","CANDID V6","0","2029-04-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","s79cvme7ds","GST 5% - DRDSC","0","0","iuh4ph2e0i","1","Nos","4jxys5tisy","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"CANVESTEN V6","Medications","Nos","STO-ITEM-.YYYY.-","CANVESTEN V6","30049099","0","0","1","0","0","Nos","66.8","66.8","63.619","0","0","0","0","0","0","0","0","CANVESTEN V6","0","2027-01-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","pscj1mg2bb","GST 5% - DRDSC","0","0","cgbkj7juk0","1","Nos","emfkjq7aiv","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"CETANIL 10","Medications","Nos","STO-ITEM-.YYYY.-","CETANIL 10","30049099","0","0","1","0","0","Strip 15","178.0","11.867","11.3019","0","0","0","0","0","0","0","0","CETANIL 10","0","2026-03-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","4nmlnt2agh","GST 5% - DRDSC","0","0","w1caepy9np","1","Nos","516jz3ji7h","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"CILABS T5","Medications","Nos","STO-ITEM-.YYYY.-","CILABS T5","30049099","0","0","1","0","0","Strip 15","130.0","8.667","8.2543","0","0","0","0","0","0","0","0","CILABS T5","0","2026-05-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","ld5wipqa0c","GST 5% - DRDSC","0","0","n0k16zp7l9","1","Nos","vt5dk1c7qr","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"CILACAR 10","Medications","Nos","STO-ITEM-.YYYY.-","CILACAR 10","30049099","0","0","1","0","0","Strip 15","219.45","14.63","13.9333","0","0","0","0","0","0","0","0","CILACAR 10","0","2028-10-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","9dauw5g5xu","GST 5% - DRDSC","0","0","a2hy9ap7k4","1","Nos","3y9zd41ndj","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"CILACAR T","Medications","Nos","STO-ITEM-.YYYY.-","CILACAR T","30049099","0","0","1","0","0","Strip 15","292.31","19.487","18.559","0","0","0","0","0","0","0","0","CILACAR T","0","2027-10-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","sj9fje03jo","GST 5% - DRDSC","0","0","5vh91lqswq","1","Nos","fleswvcu2u","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"CLONOTRIL 0.25","Medications","Nos","STO-ITEM-.YYYY.-","CLONOTRIL 0.25","30049099","0","0","1","0","0","Strip 15","34.48","2.299","2.1895","0","0","0","0","0","0","0","0","CLONOTRIL 0.25","0","2028-05-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","m2o2adqdh7","GST 5% - DRDSC","0","0","1ke0zgtxde","1","Nos","a4kmbxjtmm","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"CORBIS 1.25","Medications","Nos","STO-ITEM-.YYYY.-","CORBIS 1.25","30049099","0","0","1","0","0","Strip 15","67.6","4.507","4.2924","0","0","0","0","0","0","0","0","CORBIS 1.25","0","2027-10-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","bl67643wvz","GST 5% - DRDSC","0","0","8vu04tavme","1","Nos","bt8u4gl8y0","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"CORBIS 2.5","Medications","Nos","STO-ITEM-.YYYY.-","CORBIS 2.5","30049099","0","0","1","0","0","Strip 15","112.2","7.48","7.1238","0","0","0","0","0","0","0","0","CORBIS 2.5","0","2028-06-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","kymhfgdo5t","GST 5% - DRDSC","0","0","nx7j79mcy7","1","Nos","nliexk7oey","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
